,index,ID,INV_x,OT,ORD,CLA,TIN,concepta_x,CODEX 1,CODEX 2,CODEX 3,CODEX 4,CODEX 5,CODEX 6,CODEX 7,CODEX 8,CODEX 9,REGESTUM_x,LITTERAE_x,CONCEPTUM_x,DECLINATIO,MASC./FEM.,SING./PL.,IDX,CNS,FORMULA,PRAENOMEN,NOMEN,COGNOMEN,SUPERNOMINA,DUDOSOS,OBS,Unnamed: 0,INV_y,CODEX,concepta_y,REGESTUM_y,LITTERAE_y,CONCEPTUM_y,locR,locI,locA,threshold10,threshold20,threshold30,threshold40,threshold50,threshold60,threshold70,threshold80,threshold90
286,286,0,1156,1,,NUL,RUB,3,n//i//\I,n//i//\X?,n//i//\X,niI,niX?,niX,n,nX?,nX,I,LAT,NUM?,,,,DV {505},DV,,,,,,,"CIL, IV, 6450: ab altera parte.",286,1156,XXlIigNng,3,I,LAT,NUM?,0,00,000,53,51,42,27,17,11,8,5,4
287,287,0,1156,1,,NUL,IGN,3,n//i//\I,n//i//\X?,n//i//\X,niI,niX?,niX,n,nX?,nX,i,GRA,I,,,,Ϲεκ,Ϲεκ(---),,,,Ϲεκ(---),,,"CIL, IV, 6450: sub ansa.",287,1156,XXlIigNng,3,i,GRA,I,0,00,000,53,51,42,27,17,11,8,5,4
288,288,0,1163,1,,NUL,IGN,2,i/i,i/i,i/i,ii,ii,ii,,,,i,GRA,I,,,,ελαϲιμου,ελαϲιμου,,,,ελαϲιμου,,,"CIL, IV, 6457: ΕΛΑϹΙΜΟΥ?",288,1163,IigIig,2,i,GRA,I,6,613,61316,40,38,31,19,11,7,5,3,2
289,289,0,1163,1,,NUL,IGN,2,i/i,i/i,i/i,ii,ii,ii,,,,i,GRA,I,,,,ιμϲη...,ιμϲη[---],,,,ιμϲη[---],,,\N,289,1163,IigIig,2,i,GRA,I,6,613,61316,40,38,31,19,11,7,5,3,2
290,290,0,1165,1,,NUL,IGN,2,i/i,x?/i,x/i,ii,x?i,xi,,x?,x,i,GRA,NUM?,,,,Ι {1} {10},Ι,,,,Ι,,,\N,290,1165,IigXxg,2,i,GRA,NUM?,0,00,000,39,37,30,19,11,7,5,3,2
291,291,0,1165,1,,NUL,IGN,2,i/i,x?/i,x/i,ii,x?i,xi,,x?,x,i,GRA,I,,,,Λυκ && Νυκ,Λυκ(---) && Νυκ(---),,,,Λυκ(---) && Νυκ(---),,,"CIL, IV, 6460: ΛΥΚ? ΝΥΚ?",291,1165,IigXxg,2,i,GRA,I,0,00,000,39,37,30,19,11,7,5,3,2
292,292,0,1169,1,,NUL,IGN,2,n/x,n/x,n/x,nx,nx,nx,nx,nx,nx,x,GRA,NUM,,,,ΘΚ {29},ΘΚ,,,,,,,\N,292,1169,NngXxg,2,x,GRA,NUM,0,00,000,37,35,28,17,10,7,5,3,2
293,293,0,1169,1,,NUL,IGN,2,n/x,n/x,n/x,nx,nx,nx,nx,nx,nx,n,GRA,N,,,,Λυκωνο-...,Λυκων[ο][---],,,,Λυκων[ο][---],,,\N,293,1169,NngXxg,2,n,GRA,N,0,00,000,37,35,28,17,10,7,5,3,2
294,294,0,1174,1,,NUL,IGN,5,p/n/n/i/i,p/n/n/n?/n?,p/n/n/n/n,pnnii,pnnn?n?,pnnnn,pnn,pnnn?n?,pnnnn,n,GRA,N,N,M,S,δια Αθηνιωνοϲ Γε,δ'ι(α) Αθηνιωνοϲ Γε(---),δ'ι(α),,,Αθηνιωνοϲ Γε(---),,,"CIL, IV, 6469: 1-3 Λύτ(τιος: cf. ad 5555 ss. 6298 ss.) Μ. Κ. Ν. (M. Calidium Nastam habes X 926) δἰ Ἀθηνίωνος.",294,1174,NngNngNngNngPpg,5,n,GRA,N,5,52,520,101,99,87,56,35,22,15,10,8
295,295,0,1174,1,,NUL,IGN,5,p/n/n/i/i,p/n/n/n?/n?,p/n/n/n/n,pnnii,pnnn?n?,pnnnn,pnn,pnnn?n?,pnnnn,n,GRA,N,,M,S,Μ. Κ. Ν.,[Μ.] Κ. Ν.,,[Μ.],Κ.,Ν.,,,"CIL, IV, 6469: 1-3 Λύτ(τιος: cf. ad 5555 ss. 6298 ss.) Μ. Κ. Ν. (M. Calidium Nastam habes X 926) δἰ Ἀθηνίωνος.",295,1174,NngNngNngNngPpg,5,n,GRA,N,5,52,520,101,99,87,56,35,22,15,10,8
296,296,0,1174,1,,NUL,IGN,5,p/n/n/i/i,p/n/n/n?/n?,p/n/n/n/n,pnnii,pnnn?n?,pnnnn,pnn,pnnn?n?,pnnnn,i,GRA,N?,,,,Ἀκίμι-,Ακι[μ-],,,,Ακι[μ-],,,"CIL, IV, 6469: Ἀκιν(δυν..)?",296,1174,NngNngNngNngPpg,5,i,GRA,N?,5,52,520,101,99,87,56,35,22,15,10,8
297,297,0,1174,1,,NUL,IGN,5,p/n/n/i/i,p/n/n/n?/n?,p/n/n/n/n,pnnii,pnnn?n?,pnnnn,pnn,pnnn?n?,pnnnn,i,GRA,N?,,,,Επα,Επα(---),,,,Επα(---),,,"CIL, IV, 6469: Ἐπα(φροδιτ..).",297,1174,NngNngNngNngPpg,5,i,GRA,N?,5,52,520,101,99,87,56,35,22,15,10,8
298,298,0,1174,1,,PRO,IGN,5,p/n/n/i/i,p/n/n/n?/n?,p/n/n/n/n,pnnii,pnnn?n?,pnnnn,pnn,pnnn?n?,pnnnn,p,GRA,P,,,,Λυττιοϲ,Λυτ(τιοϲ),,,,,,,"CIL, IV, 6469: 1-3 Λύτ(τιος: cf. ad 5555 ss. 6298 ss.) Μ. Κ. Ν. (M. Calidium Nastam habes X 926) δἰ Ἀθηνίωνος.",298,1174,NngNngNngNngPpg,5,p,GRA,P,5,52,520,101,99,87,56,35,22,15,10,8
299,299,0,1175,1,,NUL,ATR,6,N//\p/i&n/n/i,N//\p/x?&n/n/n?,N//\p/x&n/n/n,Nipnnni,Npx?nnn?,Npxnnn,Npnn,Npx?nnn?,Npxnnn,n,GRA,N,G?,M,S,δια Αθηνιωνου && Αθηνιωνον,δι(α) Αθηνιωνο[υ] && Αθηνιωνο[ν],δι(α),,,Αθηνιωνο[υ] && Αθηνιωνο[ν],,,"CIL, IV, 6470: descripsi de tabula XLIV 11. [DANIEL MARTIN-ARROYO]: se sustituye la sigma final restituida por una ipsilon, puesto que la preposición requiere acusativo o genitivo.",299,1175,NNlNngNngNngPpgXxg,6,n,GRA,N,0,00,000,98,96,84,53,32,20,13,8,7
300,300,0,1175,1,,NUL,RUB,6,N//\p/i&n/n/i,N//\p/x?&n/n/n?,N//\p/x&n/n/n,Nipnnni,Npx?nnn?,Npxnnn,Npnn,Npx?nnn?,Npxnnn,N,LAT,N,G,M,S,T. Papinio Probo,T. · Papinio / Probo,,T. ·,Papinio /,Probo,,,\N,300,1175,NNlNngNngNngPpgXxg,6,N,LAT,N,0,00,000,98,96,84,53,32,20,13,8,7
301,301,0,1175,1,,NUL,ATR,6,N//\p/i&n/n/i,N//\p/x?&n/n/n?,N//\p/x&n/n/n,Nipnnni,Npx?nnn?,Npxnnn,Npnn,Npx?nnn?,Npxnnn,n,GRA,N,,M,S,Μ. Κ. Ν.,Μ. Κ. Ν.,,Μ.,Κ.,Ν.,,,"CIL, IV, 6470: descripsi de tabula XLIV 11.",301,1175,NNlNngNngNngPpgXxg,6,n,GRA,N,0,00,000,98,96,84,53,32,20,13,8,7
302,302,0,1175,1,,NUL,ATR,6,N//\p/i&n/n/i,N//\p/x?&n/n/n?,N//\p/x&n/n/n,Nipnnni,Npx?nnn?,Npxnnn,Npnn,Npx?nnn?,Npxnnn,i,GRA,N?,,,,Επα,Επα(---),,,,Επα(---),,,"CIL, IV, 6470: descripsi de tabula XLIV 11.",302,1175,NNlNngNngNngPpgXxg,6,i,GRA,N?,0,00,000,98,96,84,53,32,20,13,8,7
303,303,0,1175,1,,PRO,ATR,6,N//\p/i&n/n/i,N//\p/x?&n/n/n?,N//\p/x&n/n/n,Nipnnni,Npx?nnn?,Npxnnn,Npnn,Npx?nnn?,Npxnnn,p,GRA,P,,,,Λυττιοϲ,Λυτ(τιοϲ),,,,,,,"CIL, IV, 6470: descripsi de tabula XLIV 11.",303,1175,NNlNngNngNngPpgXxg,6,p,GRA,P,0,00,000,98,96,84,53,32,20,13,8,7
304,304,0,1175,1,,NUL,ATR,6,N//\p/i&n/n/i,N//\p/x?&n/n/n?,N//\p/x&n/n/n,Nipnnni,Npx?nnn?,Npxnnn,Npnn,Npx?nnn?,Npxnnn,i,GRA,NUM?,,,,ΦΗ {508} && Φη,ΦΗ && Φη(---),,,,,,,"CIL, IV, 6470: descripsi de tabula XLIV 11. Φη(λιξ vel λικος). Mox in tabula ΜΕΝ scriptum videtur, sed collato titulo praecedente dubitari vix potest, quin fuerit Μ Κ Ν.",304,1175,NNlNngNngNngPpgXxg,6,i,GRA,NUM?,0,00,000,98,96,84,53,32,20,13,8,7
305,305,0,1176,1,,PRO,IGN,2,p/n/=,p/n/=,p/n/=,pn,pn,pn,pn,pn,pn,p,GRA,P,,,,Λυττιοϲ,Λυττιοϲ,,,,,,,"CIL, IV, 6471: Λύτ(τιος) Μ. Κ(λαυδίου: cf. 6409 ss.) Εὐρύ(του).",305,1176,NngPpg,2,p,GRA,P,5,52,520,36,34,27,17,10,7,5,3,2
306,306,0,1176,1,,NUL,IGN,2,p/n/=,p/n/=,p/n/=,pn,pn,pn,pn,pn,pn,n,GRA,N,,,,Μ. Κ. Εὐρυ,Μ. · Κ. · /  Εὐρυ(---),,Μ.,Κ.,Εὐρυ(---),,,"CIL, IV, 6471: Λύτ(τιος) Μ. Κ(λαυδίου: cf. 6409 ss.) Εὐρύ(του). M. Claudium habes etiam 5640; descendentunt haud dubie ab aliquo M. Claudi Marcelli, Pompeianorum patroni (X 832), liberto.",306,1176,NngPpg,2,n,GRA,N,5,52,520,36,34,27,17,10,7,5,3,2
307,307,0,1177,1,,NUL,IGN,2,p/n,p/n,p/n,pn,pn,pn,pn,pn,pn,n,GRA,N,N,M,S,Μ. Πομ. Τευπωνοϲ,Μ. · Π(ομ)(---) · Τευπωνοϲ,,Μ.,Π(ομ)(---) ,Τευπωνοϲ,,,Ν,307,1177,NngPpg,2,n,GRA,N,0,00,000,36,34,27,17,10,7,5,3,2
308,308,0,1177,1,,PRO,IGN,2,p/n,p/n,p/n,pn,pn,pn,pn,pn,pn,p,GRA,P,,,,Λυττιοϲ,Λυττιοϲ,,,,Λυττιοϲ,,,Ν,308,1177,NngPpg,2,p,GRA,P,0,00,000,36,34,27,17,10,7,5,3,2
309,309,0,1178,1,,NUL,IGN,3,p/n//\i,p/n//\x?,p/n//\x,pni,pnx?,pnx,pn,pnx?,pnx,n,GRA,N,N,M,S,Μ. Πομ. Τευπωνοϲ,Μ. · Π(ομ)(---) · Τευπωνοϲ,,Μ.,Π(ομ)(---) ,Τευπωνοϲ,,,Ν,309,1178,NngPpgXxg,3,n,GRA,N,8,80,8015,51,49,41,26,16,10,7,5,4
310,310,0,1178,1,,NUL,CAR,3,p/n//\i,p/n//\x?,p/n//\x,pni,pnx?,pnx,pn,pnx?,pnx,i,GRA,NUM?,,,,Κ {20},Κ,,,,Κ,,,"CIL, IV, 6471b: ad d.",310,1178,NngPpgXxg,3,i,GRA,NUM?,8,80,8015,51,49,41,26,16,10,7,5,4
311,311,0,1178,1,,PRO,IGN,3,p/n//\i,p/n//\x?,p/n//\x,pni,pnx?,pnx,pn,pnx?,pnx,p,GRA,P,,,,Λυττιοϲ,Λυττιοϲ,,,,,,,\Ν,311,1178,NngPpgXxg,3,p,GRA,P,8,80,8015,51,49,41,26,16,10,7,5,4
312,312,0,1179,1,,NUL,IGN,2,p/n,p/n,p/n,pn,pn,pn,pn,pn,pn,n,GRA,N,N,M,S,Μ. Πομ. Τευπωνοϲ,Μ. · Π(ομ)(---) · Τευπωνοϲ,,Μ.,Π(ομ)(---),Τευπωνοϲ,,,Ν,312,1179,NngPpg,2,n,GRA,N,5,52,520,36,34,27,17,10,7,5,3,2
313,313,0,1179,1,,PRO,IGN,2,p/n,p/n,p/n,pn,pn,pn,pn,pn,pn,p,GRA,P,,,,Λυττιοϲ,Λυττιοϲ,,,,,,,\Ν,313,1179,NngPpg,2,p,GRA,P,5,52,520,36,34,27,17,10,7,5,3,2
314,314,0,1180,1,,NUL,IGN,2,p/n/=,p/n/=,p/n/=,pn,pn,pn,pn,pn,pn,n,GRA,N,N,M,S,Μ. Πομ. Τευπωνοϲ,Μ. Π(ομ)(---) / Τευπωνοϲ,,Μ.,Π(ομ)(---),Τευπωνοϲ,,,Ν,314,1180,NngPpg,2,n,GRA,N,6,614,61412,36,34,27,17,10,7,5,3,2
315,315,0,1180,1,,PRO,IGN,2,p/n/=,p/n/=,p/n/=,pn,pn,pn,pn,pn,pn,p,GRA,P,,,,Λυττιοϲ,Λυττιοϲ,,,,,,,\Ν,315,1180,NngPpg,2,p,GRA,P,6,614,61412,36,34,27,17,10,7,5,3,2
316,316,0,1181,1,,NUL,ATR,3,p/n//x,p/n//x,p/n//x,pnx,pnx,pnx,pnx,pnx,pnx,p,GRA,P,,,,Λυττιοϲ,Λυττιοϲ,,,,,,,MARANGOU-LERAT (1995): inscription au milieu de l'épaule; encre noire. ,316,1181,NngPpgXxg,3,p,GRA,P,8,80,8015,51,49,41,26,16,10,7,5,4
317,317,0,1181,1,,NUL,ATR,3,p/n//x,p/n//x,p/n//x,pnx,pnx,pnx,pnx,pnx,pnx,n,GRA,N,,,,Μ. Πομ. Τευπωνοϲ,Μ. · Π(ομ)(---) · Τευπωνοϲ,,Μ.,Π(ομ)(---),Τευπωνοϲ,,,MARANGOU-LERAT (1995): inscription au milieu de l'épaule; encre noire. ,317,1181,NngPpgXxg,3,n,GRA,N,8,80,8015,51,49,41,26,16,10,7,5,4
318,318,0,1181,1,,NUL,ATR,3,p/n//x,p/n//x,p/n//x,pnx,pnx,pnx,pnx,pnx,pnx,x,GRA,NUM,,,,ΜΕ {45} && Με,ΜΕ && Με(---),,,,ΜΕ && Με(---),,,"CIL, IV, 6474: ad d. prope ansam. MARANGOU-LERAT (1995): inscription au milieu de l'épaule; encre noire. Selon le CIL IV, près de l'anse figuraient deux lettres en noir: ME, actuallement effacées.",318,1181,NngPpgXxg,3,x,GRA,NUM,8,80,8015,51,49,41,26,16,10,7,5,4
319,319,0,1182,1,,PRO,IGN,2,p/n,p/n,p/n,pn,pn,pn,pn,pn,pn,p,GRA,P,,,,Λυττιοϲ,Λυττιοϲ,,,,,,,\N,319,1182,NngPpg,2,p,GRA,P,5,52,520,36,34,27,17,10,7,5,3,2
320,320,0,1182,1,,NUL,IGN,2,p/n,p/n,p/n,pn,pn,pn,pn,pn,pn,n,GRA,N,,M,,Μ. Πομ. Τευπωνοϲ,Μ. · Π(ομ)(---) · Τευπωνi-,,Μ.,Π(ομ)(---),Τευπωνi-,,,Ν,320,1182,NngPpg,2,n,GRA,N,5,52,520,36,34,27,17,10,7,5,3,2
321,321,0,1183,1,,NUL,IGN,3,p/n/=/n,p/n/=/n,p/n/=/n,pnn,pnn,pnn,pnn,pnn,pnn,x,GRA,NUM,,,,ΚΧ {620},ΚΧ(!),,,,ΚΧ(!),,,Ν,321,1183,NngNngPpg,3,x,GRA,NUM,6,613,61316,61,59,50,31,19,12,9,5,4
322,322,0,1183,1,,PRO,IGN,3,p/n/=/n,p/n/=/n,p/n/=/n,pnn,pnn,pnn,pnn,pnn,pnn,p,GRA,P,,,,Λυττιοϲ,Λυτ[τι]ο[ϲ],,,,,,,\N,322,1183,NngNngPpg,3,p,GRA,P,6,613,61316,61,59,50,31,19,12,9,5,4
323,323,0,1183,1,,NUL,IGN,3,p/n/=/n,p/n/=/n,p/n/=/n,pnn,pnn,pnn,pnn,pnn,pnn,n,GRA,N,,M,,Μ. Πομ. Τευπωνοϲ,Μ. Π. / Τευπωνο<,,Μ.,Π.,Τευπωνο<,,,Ν,323,1183,NngNngPpg,3,n,GRA,N,6,613,61316,61,59,50,31,19,12,9,5,4
324,324,0,1184,1,,NUL,IGN,2,p/n,p/n,p/n,pn,pn,pn,pn,pn,pn,n,GRA,N,N,M,S,Μ. Πομ. Τευπωνοϲ,Μ. · Π(ομ)(---) · Τευπωνοϲ,,Μ.,Π(ομ)(---),Τευπωνοϲ,,,"CIL, IV, 6477: descripsi 1873.",324,1184,NngPpg,2,n,GRA,N,0,00,000,36,34,27,17,10,7,5,3,2
325,325,0,1184,1,,PRO,IGN,2,p/n,p/n,p/n,pn,pn,pn,pn,pn,pn,p,GRA,P,,,,Λυττιοϲ,Λυτ(τιοϲ),,,,,,,"CIL, IV, 6477: descripsi 1873.",325,1184,NngPpg,2,p,GRA,P,0,00,000,36,34,27,17,10,7,5,3,2
326,326,0,1185,1,,NUL,IGN,3,p/n/i,p/n/x?,p/n/x,pni,pnx?,pnx,pn,pnx?,pnx,n,GRA,N,N,M,S,Μ. Πομ. Τευπωνοϲ,Μ. · Π(ομ)(---) · Τευπωνοϲ,,Μ.,Π(ομ)(---),Τευπωνοϲ,,,Ν,326,1185,NngPpgXxg,3,n,GRA,N,5,52,520,51,49,41,26,16,10,7,5,4
327,327,0,1185,1,,PRO,IGN,3,p/n/i,p/n/x?,p/n/x,pni,pnx?,pnx,pn,pnx?,pnx,p,GRA,P,,,,Λυττιοϲ,Λυτ(τιοϲ),,,,,,,\Ν,327,1185,NngPpgXxg,3,p,GRA,P,5,52,520,51,49,41,26,16,10,7,5,4
328,328,0,1185,1,,NUL,IGN,3,p/n/i,p/n/x?,p/n/x,pni,pnx?,pnx,pn,pnx?,pnx,i,GRA,NUM?,,,,ΧΑΛ{631?} && Χαλ,ΧΑΛ(!) && Χαλ(---),,,,ΧΑΛ(!) && Χαλ(---),,,Ν,328,1185,NngPpgXxg,3,i,GRA,NUM?,5,52,520,51,49,41,26,16,10,7,5,4
329,329,0,1190,1,,NUL,ALB,4,p/n/=//x/\X,p/n/=//x/\X,p/n/=//x/\X,pnxX,pnxX,pnxX,pnxX,pnxX,pnxX,X,LAT,NUM,,,,IIC {98} sextaria && sestertii,IIC s(extaria) && s(estertii),s(extaria) && s(estertii),,,,,,"CIL, IV, 6483: inferius.",329,1190,XXlNngPpgXxg,4,X,LAT,NUM,6,613,61316,44,42,35,22,14,9,6,4,3
330,330,0,1190,1,,PRO,IGN,4,p/n/=//x/\X,p/n/=//x/\X,p/n/=//x/\X,pnxX,pnxX,pnxX,pnxX,pnxX,pnxX,p,GRA,P,,,,Λυττιοϲ,Λυτ(τιοϲ),,,,,,,\Ν,330,1190,XXlNngPpgXxg,4,p,GRA,P,6,613,61316,44,42,35,22,14,9,6,4,3
331,331,0,1190,1,,NUL,IGN,4,p/n/=//x/\X,p/n/=//x/\X,p/n/=//x/\X,pnxX,pnxX,pnxX,pnxX,pnxX,pnxX,n,GRA,N,,M,,Μ. Πομ. Τευπωνοϲ,Μ. · Π(ομ)(---) · / Τευπωνi[---],,,Π(ομ)(---),Τευπωνi[---],,,"CIL, IV, 6483: ΤΕΥΠΩΝΟϹ fuisse suspicor.",331,1190,XXlNngPpgXxg,4,n,GRA,N,6,613,61316,44,42,35,22,14,9,6,4,3
332,332,0,1190,1,,NUL,IGN,4,p/n/=//x/\X,p/n/=//x/\X,p/n/=//x/\X,pnxX,pnxX,pnxX,pnxX,pnxX,pnxX,x,GRA,NUM,,,,ΝΤ {350},Ν^Τ ,,,,Ν^Τ ,,,"CIL, IV, 6483: prope ansam.",332,1190,XXlNngPpgXxg,4,x,GRA,NUM,6,613,61316,44,42,35,22,14,9,6,4,3
333,333,0,1191,1,,NUL,IGN,2,i/...,p?/...,p/...,i...,p?...,p...,,p?,p,...,\N,...,,,,...,[---],,,,,,,"CIL, IV, 6475b: reliquias incertas.",333,1191,...Ppg,2,...,\N,...,5,52,520,10,10,7,5,3,3,3,2,2
334,334,0,1191,1,,PRO,IGN,2,i/...,p?/...,p/...,i...,p?...,p...,,p?,p,i,GRA,P?,,,,Λυττιοϲ,[Λ]υττι[οϲ],,,,,,,Ν,334,1191,...Ppg,2,i,GRA,P?,5,52,520,10,10,7,5,3,3,3,2,2
335,335,0,1195,1,,NUL,IGN,3,n/x/x,n/x/x,n/x/x,nxx,nxx,nxx,nxx,nxx,nxx,x,GRA,NUM,,,,Α {1},Α,a(nnorum),,,,,,"CIL, IV, 6486: descripsi 1880.",335,1195,NngXxgXxg,3,x,GRA,NUM,0,00,000,52,50,41,26,16,10,7,5,4
336,336,0,1195,1,,NUL,IGN,3,n/x/x,n/x/x,n/x/x,nxx,nxx,nxx,nxx,nxx,nxx,n,GRA,N,G,M,S,Μαρκου,Μαρκου,,Μαρκου,,,,,"CIL, IV, 6486: descripsi 1880.",336,1195,NngXxgXxg,3,n,GRA,N,0,00,000,52,50,41,26,16,10,7,5,4
337,337,0,1195,1,,NUL,IGN,3,n/x/x,n/x/x,n/x/x,nxx,nxx,nxx,nxx,nxx,nxx,x,GRA,NUM,,,,Ρ {100},Ρ,,,,,,Ρ / Α' && Ρ / α',"CIL, IV, 6486: descripsi 1880.",337,1195,NngXxgXxg,3,x,GRA,NUM,0,00,000,52,50,41,26,16,10,7,5,4
338,338,0,1196,1,,NUL,IGN,3,n/x/x,n/x/x,n/x/x,nxx,nxx,nxx,nxx,nxx,nxx,n,GRA,N,G,M,S,Μαρκου,Μαρκου,,Μαρκου,,Ρ / Λ',,,\N,338,1196,NngXxgXxg,3,n,GRA,N,8,82,8239,52,50,41,26,16,10,7,5,4
339,339,0,1196,1,,NUL,IGN,3,n/x/x,n/x/x,n/x/x,nxx,nxx,nxx,nxx,nxx,nxx,x,GRA,NUM,,,,Λ {30},Λ,,,,,,,,339,1196,NngXxgXxg,3,x,GRA,NUM,8,82,8239,52,50,41,26,16,10,7,5,4
340,340,0,1196,1,,NUL,IGN,3,n/x/x,n/x/x,n/x/x,nxx,nxx,nxx,nxx,nxx,nxx,x,GRA,NUM,,,,Ρ {100},Ρ,,,,,,,\N,340,1196,NngXxgXxg,3,x,GRA,NUM,8,82,8239,52,50,41,26,16,10,7,5,4
341,341,0,1210,1,,NUL,IGN,2,i/i,x?/i,x/i,ii,x?i,xi,,x?,x,i,GRA,NUM?,,,,Ο {70},Ο,,,,Ο,,,Ν,341,1210,IigXxg,2,i,GRA,NUM?,6,613,61316,39,37,30,19,11,7,5,3,2
342,342,0,1210,1,,NUL,IGN,2,i/i,x?/i,x/i,ii,x?i,xi,,x?,x,i,GRA,I,,,,οικαχ && οικοαχε,οικαχ && οικ[ο]αχ[ε](!),,,,οικαχ && οικ[ο]αχ[ε](!),,,"[DANIEL MARTIN-ARROYO]: por asimilación a CIL, IV, 6501.",342,1210,IigXxg,2,i,GRA,I,6,613,61316,39,37,30,19,11,7,5,3,2
343,343,0,1211,1,,NUL,IGN,2,p&n,p&n,p&n,pn,pn,pn,pn,pn,pn,n,GRA,N,,M,,Διονύσιου && Διονύσιοϲ,Δ[ι]ον[υσ]ιο[-],,,,Δ[ι]ον[υσ]ιο[-],,,"CIL, IV, 6503: evanida. Οἰνος Διονυσίου.",343,1211,NngPpg,2,n,GRA,N,5,52,527,36,34,27,17,10,7,5,3,2
344,344,0,1211,1,,PRO,IGN,2,p&n,p&n,p&n,pn,pn,pn,pn,pn,pn,p,GRA,P,,,,οἰνοϲ,οιν[ο]ϲ,,,,οιν[ο]ϲ,,οιν[ο]ϲ,"CIL, IV, 6503: evanida. Οἰνος Διονυσίου.",344,1211,NngPpg,2,p,GRA,P,5,52,527,36,34,27,17,10,7,5,3,2
345,345,0,1213,1,,NUL,IGN,4,p/n/n/x,p/n/n/x,p/n/n/x,pnnx,pnnx,pnnx,pnnx,pnnx,pnnx,n,GRA,N,G,M,S,Εἰρηναιου,Ειρηναιου,,,,Ειρηναιου,,,\N,345,1213,NngNngPpgXxg,4,n,GRA,N,0,00,000,45,43,36,23,14,9,6,4,3
346,346,0,1213,1,,NUL,IGN,4,p/n/n/x,p/n/n/x,p/n/n/x,pnnx,pnnx,pnnx,pnnx,pnnx,pnnx,n,GRA,N,G,M,S,Λικίνιου && Λικίνιου Εἰρηναιου,Λικινιου && Λικινιου / Ειρηναιου,,,Λικινιου && Λικινιου,Ειρηναιου,,,\N,346,1213,NngNngPpgXxg,4,n,GRA,N,0,00,000,45,43,36,23,14,9,6,4,3
347,347,0,1213,1,,NUL,IGN,4,p/n/n/x,p/n/n/x,p/n/n/x,pnnx,pnnx,pnnx,pnnx,pnnx,pnnx,x,GRA,NUM,,,,ΔΛΥ {434},ΔΛΥ,,,,ΔΛΥ,,,"CIL, IV, 6505: prope ansam.",347,1213,NngNngPpgXxg,4,x,GRA,NUM,0,00,000,45,43,36,23,14,9,6,4,3
348,348,0,1213,1,,PRO,IGN,4,p/n/n/x,p/n/n/x,p/n/n/x,pnnx,pnnx,pnnx,pnnx,pnnx,pnnx,p,GRA,P,,,,οἰνοϲ,οινοϲ,,,,οινοϲ,,οινοϲ,\N,348,1213,NngNngPpgXxg,4,p,GRA,P,0,00,000,45,43,36,23,14,9,6,4,3
349,349,0,1223,0,,NUL,IGN,1,n,n,n,n,n,n,n,n,n,n,GRA,N,,M,S,ἐπί Ὀνήϲιμου,επι Ονηϲιμου,επι,,,Ονηϲιμου,,,"CIL, IV, 6515: evanida.",349,1223,Nng,1,n,GRA,N,8,80,8015,13,13,9,7,5,4,4,3,2
350,350,0,1226,0,,NUL,IGN,1,i,x?,x,i,x?,x,,x?,x,i,GRA,NUM?,,,,ΟΡ {170} && Ορ,ΟΡ && Ορ(---),,,,ΟΡ && Ορ(---),,,\N,350,1226,Xxg,1,i,GRA,NUM?,5,52,520,14,14,10,8,5,4,4,3,2
351,351,0,1227,0,,NUL,IGN,1,i,x?,x,i,x?,x,,x?,x,i,GRA,NUM?,,,,ΟΡ {170} && Ορ,ΟΡ && Ορ(---),,,,ΟΡ && Ορ(---),,,\N,351,1227,Xxg,1,i,GRA,NUM?,5,52,520,14,14,10,8,5,4,4,3,2
352,352,0,1228,0,,NUL,IGN,1,i,x?,x,i,x?,x,,x?,x,i,GRA,NUM?,,,,ΟΡ {170} && Ορ,ΟΡ && Ορ(---),,,,ΟΡ && Ορ(---),,,\N,352,1228,Xxg,1,i,GRA,NUM?,5,52,520,14,14,10,8,5,4,4,3,2
353,353,0,1229,0,,NUL,IGN,1,i,x?,x,i,x?,x,,x?,x,i,GRA,NUM?,,,,ΟΡ {170} && Ορ,ΟΡ && Ορ(---),,,,ΟΡ && Ορ(---),,,\N,353,1229,Xxg,1,i,GRA,NUM?,5,52,520,14,14,10,8,5,4,4,3,2
354,354,0,1230,0,,NUL,IGN,1,i,x?,x,i,x?,x,,x?,x,i,GRA,NUM?,,,,ΟΡ {170} && Ορ,ΟΡ && Ορ(---),,,,ΟΡ && Ορ(---),,,\N,354,1230,Xxg,1,i,GRA,NUM?,5,52,520,14,14,10,8,5,4,4,3,2
355,355,0,1240,1,,NUL,VIR,2,i/\i,i/\x?,i/\x,ii,ix?,ix,,x?,x,i,GRA,NUM?,,,,ΑΝ {51} && Αν,ΑΝ && Αν(---),,,,ΑΝ && Αν(---),,,"CIL, IV, 6525: eadem insciptiones habes 5960-5964.",355,1240,IigXxg,2,i,GRA,NUM?,0,00,000,39,37,30,19,11,7,5,3,2
356,356,0,1240,1,,NUL,IGN,2,i/\i,i/\x?,i/\x,ii,ix?,ix,,x?,x,i,GRA,I,,,,παιονοϲ,π[α]ιονοϲ,,,,π[α]ιονοϲ,,,"CIL, IV, 6525: eadem insciptiones habes 5960-5964.",356,1240,IigXxg,2,i,GRA,I,0,00,000,39,37,30,19,11,7,5,3,2
